Date,Time,Open,High,Low,Close,Tickvol,Spread
2019-11-08,16:00:00,1.60662,1.60921,1.60653,1.60805,4865,15
2019-11-08,20:00:00,1.60807,1.60808,1.6064,1.60663,1625,15
2019-11-10,20:00:00,1.60664,1.6071,1.60616,1.60709,1308,25
2019-11-11,00:00:00,1.60711,1.60895,1.60672,1.60786,4360,16
2019-11-11,04:00:00,1.60785,1.60934,1.60772,1.60822,4467,15
2019-11-11,08:00:00,1.60822,1.6089,1.60657,1.60889,6197,15
2019-11-11,12:00:00,1.6089,1.61131,1.60868,1.61113,6258,15
2019-11-11,16:00:00,1.61112,1.61167,1.60945,1.60998,4305,15
2019-11-11,20:00:00,1.60995,1.61122,1.60988,1.61103,2567,16
2019-11-12,00:00:00,1.61105,1.61359,1.6098,1.61217,5094,16
2019-11-12,04:00:00,1.61217,1.61262,1.60843,1.60945,5085,15
2019-11-12,08:00:00,1.60948,1.61333,1.60948,1.61072,7052,15
2019-11-12,12:00:00,1.61072,1.61124,1.60813,1.60934,7101,15
2019-11-12,16:00:00,1.60935,1.61038,1.60827,1.60895,6525,15
2019-11-12,20:00:00,1.60895,1.60979,1.60842,1.6094,3203,15
2019-11-13,00:00:00,1.60941,1.61136,1.60585,1.61049,6741,15
2019-11-13,04:00:00,1.61049,1.61049,1.60776,1.60782,5078,15
2019-11-13,08:00:00,1.60782,1.61438,1.60724,1.61244,7129,15
2019-11-13,12:00:00,1.61244,1.61327,1.61041,1.61133,7571,15
2019-11-13,16:00:00,1.61134,1.61199,1.6092,1.61054,5701,16
2019-11-13,20:00:00,1.61053,1.61059,1.60907,1.60972,3076,16
2019-11-14,00:00:00,1.60972,1.61895,1.60936,1.61861,5920,16
2019-11-14,04:00:00,1.61858,1.61939,1.61639,1.61762,5519,16
2019-11-14,08:00:00,1.61766,1.62108,1.61722,1.61969,7257,16
2019-11-14,12:00:00,1.61969,1.62428,1.61913,1.6239,7193,16
2019-11-14,16:00:00,1.62389,1.62599,1.6237,1.62447,5821,16
2019-11-14,20:00:00,1.62446,1.62468,1.62342,1.62356,3424,16
2019-11-15,00:00:00,1.62358,1.62442,1.62165,1.62192,5006,16
2019-11-15,04:00:00,1.62192,1.62315,1.62134,1.6222,4253,16
2019-11-15,08:00:00,1.62219,1.62633,1.62184,1.62303,6182,16
2019-11-15,12:00:00,1.62306,1.62393,1.62132,1.62208,7078,15
2019-11-15,16:00:00,1.62205,1.62229,1.6212,1.6219,4525,16
2019-11-15,20:00:00,1.62187,1.62208,1.62004,1.62025,1658,16
2019-11-17,20:00:00,1.62126,1.62196,1.62115,1.62187,1253,19
2019-11-18,00:00:00,1.62187,1.62385,1.62117,1.62374,4488,16
2019-11-18,04:00:00,1.62374,1.62471,1.62247,1.62275,4756,16
2019-11-18,08:00:00,1.62273,1.6248,1.62217,1.62358,5928,16
2019-11-18,12:00:00,1.62355,1.62673,1.62326,1.62595,6409,15
2019-11-18,16:00:00,1.62595,1.62693,1.62428,1.62592,4680,15
2019-11-18,20:00:00,1.62594,1.62694,1.62497,1.62694,3208,16
2019-11-19,00:00:00,1.62695,1.63069,1.62671,1.62932,4824,16
2019-11-19,04:00:00,1.62932,1.62973,1.62789,1.62802,4098,16
2019-11-19,08:00:00,1.62802,1.62827,1.62191,1.62412,6354,15
2019-11-19,12:00:00,1.6241,1.62443,1.62162,1.6231,6756,15
2019-11-19,16:00:00,1.6231,1.6234,1.62099,1.62271,5119,16
2019-11-19,20:00:00,1.62271,1.62416,1.62191,1.62309,3230,16
2019-11-20,00:00:00,1.62311,1.62579,1.62173,1.62454,5550,16
2019-11-20,04:00:00,1.62455,1.62516,1.62252,1.62403,3942,15
2019-11-20,08:00:00,1.62403,1.62613,1.62344,1.62345,6628,16
2019-11-20,12:00:00,1.62346,1.62651,1.62215,1.62635,6617,16
2019-11-20,16:00:00,1.62632,1.63034,1.62545,1.62919,6573,16
2019-11-20,20:00:00,1.62917,1.62973,1.62753,1.62952,3577,16
2019-11-21,00:00:00,1.62954,1.63221,1.62796,1.62929,6458,16
2019-11-21,04:00:00,1.62929,1.63011,1.62771,1.62881,5166,16
2019-11-21,08:00:00,1.6288,1.62986,1.62727,1.62789,6822,16
2019-11-21,12:00:00,1.62791,1.6302,1.62702,1.62983,7663,16
2019-11-21,16:00:00,1.62981,1.63013,1.62846,1.62989,5368,16
2019-11-21,20:00:00,1.62988,1.62996,1.62902,1.62993,2874,14
2019-11-22,00:00:00,1.62993,1.63057,1.62808,1.63,4557,14
2019-11-22,04:00:00,1.63,1.63151,1.62949,1.62994,4074,14
2019-11-22,08:00:00,1.62995,1.63055,1.62592,1.62998,7742,14
2019-11-22,12:00:00,1.62999,1.63014,1.62612,1.62627,7023,14
2019-11-22,16:00:00,1.62626,1.6264,1.62413,1.62431,4872,14
2019-11-22,20:00:00,1.62432,1.62476,1.62382,1.62398,1808,14
2019-11-24,20:00:00,1.6221,1.62371,1.6221,1.62285,1325,14
2019-11-25,00:00:00,1.62287,1.62291,1.62123,1.62158,4257,14
2019-11-25,04:00:00,1.62159,1.62329,1.62138,1.62302,4582,14
2019-11-25,08:00:00,1.62303,1.62385,1.62191,1.62206,5691,14
2019-11-25,12:00:00,1.62206,1.62659,1.62147,1.62611,6817,14
2019-11-25,16:00:00,1.62607,1.62634,1.62437,1.62482,5007,14
2019-11-25,20:00:00,1.62482,1.6255,1.62389,1.62475,3624,14
2019-11-26,00:00:00,1.62476,1.62541,1.62247,1.62411,5456,14
2019-11-26,04:00:00,1.62411,1.62501,1.62323,1.62501,4939,14
2019-11-26,08:00:00,1.62501,1.62718,1.62162,1.62508,6913,14
2019-11-26,12:00:00,1.62509,1.62578,1.62314,1.62314,6869,14
2019-11-26,16:00:00,1.62316,1.62411,1.62226,1.62357,5301,14
2019-11-26,20:00:00,1.62358,1.6248,1.62338,1.62395,3495,14
2019-11-27,00:00:00,1.62396,1.62421,1.62205,1.62378,4394,14
2019-11-27,04:00:00,1.62377,1.62594,1.62366,1.62468,4867,14
2019-11-27,08:00:00,1.62467,1.62467,1.62185,1.62236,6119,14
2019-11-27,12:00:00,1.62235,1.62289,1.62125,1.62213,6749,14
2019-11-27,16:00:00,1.62213,1.62367,1.62158,1.62354,5071,14
2019-11-27,20:00:00,1.62353,1.62724,1.62281,1.626,3823,14
2019-11-28,00:00:00,1.62598,1.62721,1.6247,1.62688,5025,14
2019-11-28,04:00:00,1.62688,1.62777,1.62617,1.62771,3807,14
2019-11-28,08:00:00,1.62771,1.62872,1.62491,1.62493,5512,14
