Date,Time,Open,High,Low,Close
2020-02-05,08:00:00,1.63739,1.63882,1.62749,1.63094
2020-02-05,12:00:00,1.63093,1.63172,1.6261,1.63118
2020-02-05,16:00:00,1.63115,1.63173,1.62902,1.63019
2020-02-05,20:00:00,1.63019,1.6307,1.62893,1.62917
2020-02-06,00:00:00,1.62918,1.6296,1.62633,1.62866
2020-02-06,04:00:00,1.62866,1.63025,1.62569,1.62987
2020-02-06,08:00:00,1.62986,1.63233,1.62887,1.62984
2020-02-06,12:00:00,1.62984,1.63168,1.62732,1.62914
2020-02-06,16:00:00,1.62913,1.63093,1.62824,1.63087
2020-02-06,20:00:00,1.63088,1.63233,1.63015,1.63108
2020-02-07,00:00:00,1.63112,1.63636,1.63106,1.63422
2020-02-07,04:00:00,1.63423,1.63578,1.63285,1.6357
2020-02-07,08:00:00,1.63569,1.64128,1.63532,1.63856
2020-02-07,12:00:00,1.63855,1.64473,1.63827,1.63957
2020-02-07,16:00:00,1.63957,1.64045,1.63859,1.6393
2020-02-07,20:00:00,1.6393,1.63996,1.63921,1.63937
2020-02-09,20:00:00,1.64068,1.64124,1.63871,1.64093
2020-02-10,00:00:00,1.64115,1.64182,1.63322,1.63473
2020-02-10,04:00:00,1.63473,1.63604,1.63305,1.63484
2020-02-10,08:00:00,1.63485,1.63692,1.63427,1.63636
2020-02-10,12:00:00,1.63633,1.63822,1.63369,1.63546
2020-02-10,16:00:00,1.63543,1.63571,1.63359,1.63403
2020-02-10,20:00:00,1.63403,1.63403,1.63059,1.63084
2020-02-11,00:00:00,1.63084,1.63258,1.62647,1.62653
2020-02-11,04:00:00,1.62653,1.62727,1.62361,1.62659
2020-02-11,08:00:00,1.6266,1.62835,1.62462,1.62693
2020-02-11,12:00:00,1.62693,1.62765,1.62132,1.62407
2020-02-11,16:00:00,1.62405,1.62761,1.62349,1.62657
2020-02-11,20:00:00,1.62658,1.62708,1.62455,1.6251
2020-02-12,00:00:00,1.62511,1.62581,1.62066,1.62199
2020-02-12,04:00:00,1.62199,1.62237,1.62057,1.62153
2020-02-12,08:00:00,1.62152,1.62187,1.61724,1.61753
2020-02-12,12:00:00,1.61753,1.61829,1.61477,1.61515
2020-02-12,16:00:00,1.61515,1.6155,1.613,1.61331
2020-02-12,20:00:00,1.61328,1.61944,1.61326,1.61935
2020-02-13,00:00:00,1.61961,1.62031,1.6153,1.61743
2020-02-13,04:00:00,1.61742,1.61959,1.6165,1.61817
2020-02-13,08:00:00,1.61817,1.61877,1.61398,1.6141
2020-02-13,12:00:00,1.61409,1.61467,1.60857,1.61138
2020-02-13,16:00:00,1.61138,1.61318,1.61072,1.61256
2020-02-13,20:00:00,1.61254,1.61494,1.61238,1.61349
2020-02-14,00:00:00,1.61349,1.61364,1.60976,1.61121
2020-02-14,04:00:00,1.61121,1.61339,1.61107,1.61108
2020-02-14,08:00:00,1.61107,1.61496,1.61029,1.61447
2020-02-14,12:00:00,1.61447,1.61647,1.61317,1.61477
2020-02-14,16:00:00,1.61474,1.61617,1.61271,1.61525
2020-02-14,20:00:00,1.61525,1.61525,1.61375,1.61385
2020-02-16,20:00:00,1.61223,1.61302,1.61085,1.61165
2020-02-17,00:00:00,1.61174,1.61364,1.61066,1.61201
2020-02-17,04:00:00,1.61201,1.61214,1.60988,1.61096
2020-02-17,08:00:00,1.61095,1.61352,1.61072,1.6126
2020-02-17,12:00:00,1.61259,1.61399,1.61209,1.61294
2020-02-17,16:00:00,1.61292,1.61343,1.61204,1.61284
2020-02-17,20:00:00,1.61284,1.6152,1.61238,1.61497
2020-02-18,00:00:00,1.615,1.61994,1.6145,1.61886
2020-02-18,04:00:00,1.61886,1.62125,1.61792,1.62071
2020-02-18,08:00:00,1.62071,1.62275,1.6192,1.61933
2020-02-18,12:00:00,1.61928,1.62004,1.61313,1.61611
2020-02-18,16:00:00,1.61608,1.61705,1.61399,1.61435
2020-02-18,20:00:00,1.61437,1.61482,1.61256,1.61256
2020-02-19,00:00:00,1.61253,1.61591,1.61195,1.61272
2020-02-19,04:00:00,1.61271,1.61346,1.61133,1.61171
2020-02-19,08:00:00,1.61172,1.61381,1.61112,1.61299
2020-02-19,12:00:00,1.61299,1.61816,1.61289,1.61718
2020-02-19,16:00:00,1.61716,1.61848,1.61591,1.61808
2020-02-19,20:00:00,1.61808,1.6191,1.61694,1.61774
2020-02-20,00:00:00,1.61782,1.62847,1.61464,1.62684
2020-02-20,04:00:00,1.62684,1.62712,1.62213,1.62496
2020-02-20,08:00:00,1.62493,1.63082,1.62468,1.62764
2020-02-20,12:00:00,1.62765,1.63298,1.6275,1.62997
2020-02-20,16:00:00,1.62997,1.63309,1.62997,1.63129
2020-02-20,20:00:00,1.63129,1.63141,1.62964,1.63103
2020-02-21,00:00:00,1.63123,1.63668,1.62889,1.63405
2020-02-21,04:00:00,1.63406,1.63805,1.63378,1.63755
2020-02-21,08:00:00,1.63756,1.64059,1.63665,1.63705
2020-02-21,12:00:00,1.63705,1.64043,1.63504,1.63645
2020-02-21,16:00:00,1.63644,1.638,1.63548,1.63735
2020-02-21,20:00:00,1.63735,1.63795,1.63676,1.63689
2020-02-23,20:00:00,1.64185,1.64205,1.63949,1.64045
2020-02-24,00:00:00,1.64055,1.64097,1.63723,1.63773
2020-02-24,04:00:00,1.63774,1.64116,1.63674,1.64032
2020-02-24,08:00:00,1.64034,1.64324,1.63812,1.63847
2020-02-24,12:00:00,1.6385,1.64178,1.63764,1.64053
2020-02-24,16:00:00,1.64054,1.6444,1.64023,1.64336
2020-02-24,20:00:00,1.64335,1.64445,1.64067,1.64087
2020-02-25,00:00:00,1.64091,1.64257,1.63935,1.64077
2020-02-25,04:00:00,1.64077,1.64244,1.639,1.6421
2020-02-25,08:00:00,1.64213,1.64607,1.64116,1.64247
2020-02-25,12:00:00,1.64249,1.64619,1.64137,1.64487
2020-02-25,16:00:00,1.64483,1.64936,1.64441,1.64862
