<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.20	11:00:00	1.59051	1.59398	1.59005	1.59312	2751	0	14
2022.12.20	12:00:00	1.59315	1.59624	1.59306	1.59619	2941	0	14
2022.12.20	13:00:00	1.59623	1.59752	1.59452	1.59599	3209	0	14
2022.12.20	14:00:00	1.59595	1.59678	1.59275	1.59459	3825	0	14
2022.12.20	15:00:00	1.59455	1.59716	1.59228	1.59616	4770	0	14
2022.12.20	16:00:00	1.59620	1.59782	1.59467	1.59589	3616	0	14
2022.12.20	17:00:00	1.59585	1.59605	1.59309	1.59339	2586	0	14
2022.12.20	18:00:00	1.59336	1.59372	1.59115	1.59165	1821	0	14
2022.12.20	19:00:00	1.59167	1.59167	1.58995	1.59050	1717	0	14
2022.12.20	20:00:00	1.59053	1.59170	1.59046	1.59145	1557	0	14
2022.12.20	21:00:00	1.59148	1.59167	1.58936	1.59024	1133	0	14
2022.12.20	22:00:00	1.58979	1.59090	1.58720	1.58797	638	0	57
2022.12.20	23:00:00	1.58865	1.58970	1.58672	1.58853	978	0	36
2022.12.21	00:00:00	1.58865	1.58961	1.58792	1.58843	1760	0	14
2022.12.21	01:00:00	1.58840	1.59005	1.58628	1.58987	2754	0	14
2022.12.21	02:00:00	1.58990	1.59034	1.58695	1.58784	1840	0	14
2022.12.21	03:00:00	1.58787	1.59436	1.58770	1.59301	1747	0	14
2022.12.21	04:00:00	1.59300	1.59303	1.58987	1.59207	1637	0	14
2022.12.21	05:00:00	1.59208	1.59295	1.59079	1.59165	1719	0	14
2022.12.21	06:00:00	1.59163	1.59219	1.59038	1.59170	1525	0	14
2022.12.21	07:00:00	1.59172	1.59203	1.59045	1.59122	2595	0	14
2022.12.21	08:00:00	1.59125	1.59383	1.59027	1.59296	2857	0	14
2022.12.21	09:00:00	1.59298	1.59411	1.59012	1.59016	2628	0	14
2022.12.21	10:00:00	1.59015	1.59083	1.58869	1.59083	2430	0	14
2022.12.21	11:00:00	1.59081	1.59086	1.58681	1.58706	2311	0	14
2022.12.21	12:00:00	1.58702	1.58876	1.58609	1.58745	2517	0	14
2022.12.21	13:00:00	1.58743	1.58755	1.58258	1.58341	3346	0	14
2022.12.21	14:00:00	1.58340	1.58417	1.58079	1.58199	3496	0	14
2022.12.21	15:00:00	1.58192	1.58320	1.57989	1.58094	3668	0	14
2022.12.21	16:00:00	1.58097	1.58372	1.58028	1.58289	2878	0	14
2022.12.21	17:00:00	1.58292	1.58382	1.58229	1.58235	1974	0	14
2022.12.21	18:00:00	1.58237	1.58305	1.58214	1.58293	1791	0	14
2022.12.21	19:00:00	1.58294	1.58346	1.58194	1.58343	1594	0	14
2022.12.21	20:00:00	1.58347	1.58348	1.58117	1.58139	1413	0	14
2022.12.21	21:00:00	1.58144	1.58204	1.58060	1.58075	865	0	14
2022.12.21	22:00:00	1.58027	1.58169	1.57987	1.58142	398	0	57
2022.12.21	23:00:00	1.58153	1.58164	1.57946	1.58018	783	0	36
2022.12.22	00:00:00	1.58025	1.58145	1.57852	1.57889	1489	0	14
2022.12.22	01:00:00	1.57893	1.57944	1.57784	1.57815	2045	0	14
2022.12.22	02:00:00	1.57817	1.57865	1.57604	1.57653	1525	0	14
2022.12.22	03:00:00	1.57652	1.57761	1.57514	1.57514	1499	0	14
2022.12.22	04:00:00	1.57517	1.57591	1.57319	1.57426	1392	0	14
2022.12.22	05:00:00	1.57423	1.57632	1.57423	1.57606	1660	0	14
2022.12.22	06:00:00	1.57603	1.57642	1.57415	1.57442	1652	0	14
2022.12.22	07:00:00	1.57440	1.57505	1.57237	1.57326	1817	0	14
2022.12.22	08:00:00	1.57322	1.57663	1.57319	1.57522	2576	0	14
2022.12.22	09:00:00	1.57519	1.57903	1.57495	1.57864	2452	0	14
2022.12.22	10:00:00	1.57861	1.58073	1.57810	1.57871	2177	0	14
2022.12.22	11:00:00	1.57868	1.57881	1.57533	1.57669	2065	0	14
2022.12.22	12:00:00	1.57664	1.58023	1.57626	1.57954	2239	0	14
2022.12.22	13:00:00	1.57958	1.58337	1.57939	1.58302	3835	0	14
2022.12.22	14:00:00	1.58303	1.58589	1.58299	1.58434	3813	0	14
2022.12.22	15:00:00	1.58433	1.58809	1.58383	1.58714	3740	0	14
2022.12.22	16:00:00	1.58718	1.58885	1.58595	1.58733	2623	0	14
2022.12.22	17:00:00	1.58730	1.58987	1.58668	1.58883	1641	0	14
2022.12.22	18:00:00	1.58879	1.59009	1.58839	1.58913	1634	0	14
2022.12.22	19:00:00	1.58911	1.59118	1.58771	1.59100	2475	0	14
2022.12.22	20:00:00	1.59097	1.59099	1.58869	1.58903	2069	0	14
2022.12.22	21:00:00	1.58897	1.58996	1.58835	1.58835	1125	0	14
2022.12.22	22:00:00	1.58763	1.58860	1.58539	1.58830	433	0	57
2022.12.22	23:00:00	1.58863	1.58993	1.58719	1.58784	1327	0	36
2022.12.23	00:00:00	1.58796	1.59005	1.58747	1.58887	1570	0	14
2022.12.23	01:00:00	1.58884	1.58970	1.58760	1.58799	2496	0	14
2022.12.23	02:00:00	1.58796	1.58798	1.58533	1.58580	2225	0	14
2022.12.23	03:00:00	1.58579	1.58679	1.58484	1.58591	1402	0	14
2022.12.23	04:00:00	1.58588	1.58790	1.58526	1.58779	1390	0	14
2022.12.23	05:00:00	1.58777	1.58881	1.58699	1.58724	1319	0	14
